% Data generated on Sat Jan 16 19:02:08 GMT 2016
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE y9 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE y10 NUMERIC
@ATTRIBUTE z10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE y11 NUMERIC
@ATTRIBUTE z11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE y12 NUMERIC
@ATTRIBUTE z12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE y13 NUMERIC
@ATTRIBUTE z13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE y14 NUMERIC
@ATTRIBUTE z14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE y15 NUMERIC
@ATTRIBUTE z15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE y16 NUMERIC
@ATTRIBUTE z16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE y17 NUMERIC
@ATTRIBUTE z17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE y18 NUMERIC
@ATTRIBUTE z18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE y19 NUMERIC
@ATTRIBUTE z19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE y20 NUMERIC
@ATTRIBUTE z20 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
1.5880,-0.5512,0.7319,1.1013,-0.9342,0.4964,0.2805,-0.6137,0.4779,-0.5062,0.3626,1.0456,0.3547,-0.0244,1.1101,1.1746,-0.5062,1.0574,1.5841,-0.5551,0.8336,1.2401,-0.2179,0.8355,0.6655,0.0283,0.8844,0.2746,0.0606,0.7730,0.1163,-0.0274,0.8463,0.2277,0.0049,0.9890,0.5756,0.1046,0.8854,0.8209,-0.0420,0.6860,0.8648,-0.3498,0.6577,0.7329,-0.6205,0.7280,0.6401,-0.7075,0.7446,0.6772,-0.5492,0.8131,0.7515,-0.2922,0.9254,0.7867,-0.1104,0.9557,EX_PEAK
0.6547,-0.2941,0.8521,0.6244,-0.1945,0.9176,0.6176,-0.1222,0.8805,0.6235,-0.1397,0.8873,0.6762,-0.1349,0.8590,0.7114,-0.1964,0.7808,0.6870,-0.2570,0.7769,0.6274,-0.2990,0.7818,0.6166,-0.3108,0.7691,0.6489,-0.3811,0.8140,0.6655,-0.3196,0.7759,0.6147,-0.3401,0.7779,0.5922,-0.3176,0.8375,0.6528,-0.1974,0.8570,0.7730,-0.0958,0.9069,0.8844,-0.0469,0.8873,0.8785,-0.0870,0.7906,0.7271,-0.1681,0.6958,0.5551,-0.1867,0.7153,0.4925,-0.1192,0.8736,EX_PEAK
0.8082,-0.6459,0.7876,0.8258,-0.5854,0.8287,0.8385,-0.4984,0.6948,0.7056,-0.5883,0.6264,0.5394,-0.5639,0.7642,0.4945,-0.3205,0.7573,0.5072,-0.3235,0.7593,0.6518,-0.3538,0.8218,0.7456,-0.3547,0.7192,0.6997,-0.3586,0.7554,0.6303,-0.2678,0.8365,0.6274,-0.2248,0.8043,0.6665,-0.2668,0.7974,0.6635,-0.2795,0.7935,0.6499,-0.2531,0.7994,0.6557,-0.2668,0.8570,0.7007,-0.1954,0.8600,0.7300,-0.1524,0.9606,0.7749,-0.1827,0.9391,0.6831,-0.2111,0.7857,EX_PEAK
0.6264,-0.5902,0.8091,0.6948,-0.4749,0.8101,0.7378,-0.3684,0.7476,0.6596,-0.3792,0.7525,0.5727,-0.3186,0.8815,0.5560,-0.2511,0.8981,0.6293,-0.3293,0.8306,0.6626,-0.4632,0.7788,0.6342,-0.4525,0.8277,0.6205,-0.2951,0.8082,0.6088,-0.2414,0.7867,0.6743,-0.2912,0.8473,0.7183,-0.2062,0.7183,0.5179,-0.3430,0.7867,0.5463,-0.2081,0.8248,0.6420,-0.1495,0.7876,0.7016,-0.1515,0.8121,0.7222,-0.0762,0.9127,0.7427,0.0068,0.9743,0.7759,0.0000,0.9401,EX_PEAK
0.8326,-0.5541,0.5463,0.6733,-0.5570,0.5404,0.5560,-0.6098,0.6254,0.5160,-0.6166,0.7271,0.5824,-0.4095,0.8013,0.6372,-0.2375,0.8433,0.6518,-0.1769,0.8648,0.6381,-0.2482,0.9127,0.6596,-0.2853,0.9137,0.6450,-0.3108,0.8346,0.6235,-0.2971,0.8717,0.6420,-0.1984,0.8463,0.6528,-0.2209,0.7837,0.6782,-0.2257,0.8052,0.6714,-0.1417,0.8316,0.6792,-0.0635,0.9567,0.7779,-0.0547,1.0720,0.8697,-0.0635,1.0173,0.8961,-0.1378,0.9811,0.8717,-0.0743,1.0593,EX_PEAK
0.6303,-0.1798,0.7622,0.5521,-0.2042,0.8336,0.5687,-0.2746,0.8492,0.6293,-0.3186,0.7974,0.6704,-0.3303,0.7661,0.6821,-0.3225,0.7681,0.6704,-0.3547,0.7564,0.6352,-0.3743,0.7446,0.5824,-0.4055,0.7554,0.5824,-0.3977,0.7632,0.6078,-0.4065,0.7378,0.6108,-0.3704,0.7642,0.6029,-0.2511,0.8043,0.5824,-0.0782,0.8736,0.6069,0.0577,0.9655,0.7280,0.0938,0.9948,0.8385,-0.0450,0.8688,0.8375,-0.1876,0.7974,0.7701,-0.1212,0.9078,0.7124,0.0498,1.0153,EX_PEAK
0.7876,-0.3323,0.6078,0.4329,-0.3323,0.8033,0.3362,-0.3948,0.9313,0.4994,-0.3244,0.9391,0.7065,-0.1788,0.8746,0.7622,-0.0987,0.7964,0.5961,-0.0498,1.0085,0.6166,-0.0997,1.0065,0.6430,-0.0831,0.9303,0.6430,-0.0821,0.9225,0.6401,-0.0899,0.9274,0.6196,-0.0684,0.8306,0.5570,-0.1143,0.7573,0.5385,-0.0840,0.8932,0.6459,-0.0391,0.9059,0.7427,-0.1280,0.8052,0.7026,-0.2277,0.7202,0.5570,-0.2336,0.7495,0.4456,-0.1984,0.8003,0.4476,-0.1437,0.8815,EX_PEAK
0.0313,-0.4007,1.0417,0.6117,-0.1954,0.6508,0.6508,0.0840,0.5287,0.5443,0.1495,0.7876,0.4945,0.0293,0.9245,0.5414,-0.1358,0.9254,0.6332,-0.1163,0.9137,0.6440,0.0410,0.8942,0.6801,0.1837,1.0251,0.7691,0.2590,1.0564,0.8199,0.0557,0.9479,0.7407,-0.3059,0.7329,0.5062,-0.5658,0.5326,0.2287,-0.5336,0.6645,0.1779,-0.1094,0.9147,0.4603,0.1153,0.8990,0.8355,0.0880,0.7994,0.9557,-0.1876,0.7271,0.6968,-0.4241,0.7896,0.4398,-0.4280,0.9381,EX_PEAK
0.3753,-0.3743,0.8482,0.3000,-0.3108,0.9821,0.3899,-0.2961,1.0065,0.5492,-0.3303,0.9518,0.7280,-0.4769,0.8707,0.9010,-0.6645,0.7779,0.9225,-0.7153,0.6078,0.7124,-0.6655,0.5121,0.4143,-0.4525,0.6577,0.1241,-0.1759,0.7183,-0.0674,-0.0752,0.7261,0.0655,-0.1202,0.9225,0.6088,-0.2072,1.1023,1.3017,-0.3674,1.1951,1.6476,-0.5551,0.9909,1.6417,-0.7075,0.4534,1.1658,-0.8013,-0.0889,0.5512,-0.6626,-0.2160,-0.0723,0.0586,1.3408,0.3010,0.1241,1.2421,EX_PEAK
0.6293,-0.3498,0.6635,0.3332,-0.4398,0.7192,0.2912,-0.5365,0.7173,0.5150,-0.4476,0.7095,0.7554,-0.3430,0.6596,0.8619,-0.2560,0.7075,0.8287,-0.2375,0.7818,0.7271,-0.2658,0.8658,0.6772,-0.2443,0.9880,0.6997,-0.1554,0.9919,0.7007,-0.1779,0.8590,0.6723,-0.2551,0.8443,0.6332,-0.2169,0.8912,0.5805,-0.1339,0.8717,0.5658,-0.1309,0.8336,0.5785,-0.1495,0.8365,0.6284,-0.1046,0.9020,0.8003,-0.0977,0.9078,0.8062,-0.0948,0.8844,0.7788,-0.0625,0.9284,EX_PEAK
0.0870,0.2228,0.7828,0.0000,0.1026,0.6313,-0.3411,-0.0352,0.7456,-0.6459,-0.2521,0.5599,-0.6274,-0.2502,0.4593,-0.4143,-0.3547,0.3215,-0.3489,-0.6049,0.4251,-0.4065,-0.7534,0.4847,-0.4779,-0.6704,0.4984,-0.5756,-0.5951,0.4378,-0.6958,-0.5375,0.4691,-0.7114,-0.3909,0.5336,-0.6205,-0.2492,0.6586,-0.5414,-0.1935,0.6694,-0.5736,-0.2345,0.6596,-0.6303,-0.2873,0.6010,-0.6440,-0.3098,0.5893,-0.6547,-0.3293,0.4964,-0.6743,-0.3801,0.5179,-0.6303,-0.3928,0.6088,EX_TROU
