% Data generated on Tue Jan 19 19:00:18 GMT 2016
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE y9 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE y10 NUMERIC
@ATTRIBUTE z10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE y11 NUMERIC
@ATTRIBUTE z11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE y12 NUMERIC
@ATTRIBUTE z12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE y13 NUMERIC
@ATTRIBUTE z13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE y14 NUMERIC
@ATTRIBUTE z14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE y15 NUMERIC
@ATTRIBUTE z15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE y16 NUMERIC
@ATTRIBUTE z16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE y17 NUMERIC
@ATTRIBUTE z17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE y18 NUMERIC
@ATTRIBUTE z18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE y19 NUMERIC
@ATTRIBUTE z19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE y20 NUMERIC
@ATTRIBUTE z20 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
-0.5766,-0.3586,0.8258,-0.6499,-0.2570,0.8502,-0.9108,-0.2101,1.1668,-0.9039,-0.3753,1.0896,-0.9567,0.0176,1.3681,-0.7359,0.1231,1.1668,-0.2805,0.4036,0.7368,-0.1710,-0.0889,0.9821,0.1603,0.0811,0.5316,0.0665,-0.0322,0.9753,0.3518,0.2023,0.5287,0.3381,0.3342,0.4251,-0.0371,0.3274,0.7652,0.0313,0.2081,0.4554,-0.4867,0.1261,1.1717,-0.4358,-0.2062,1.3310,-0.1007,-0.0059,0.4710,-0.7417,0.3850,1.2958,-0.6254,-0.0049,1.2860,-0.7798,-0.1886,1.1600,EX_PEAK
-0.7417,0.3850,1.2958,-0.6254,-0.0049,1.2860,-0.7798,-0.1886,1.1600,-0.8238,-0.4231,1.2039,-0.8961,-0.4261,1.2401,-0.2726,0.7701,0.8727,-0.2678,0.3196,1.1893,0.1603,-0.0752,0.5687,0.2404,-0.0420,0.5707,0.2883,0.1319,0.5228,0.3420,0.4456,0.4564,0.1104,0.5727,0.4046,-0.3450,0.4593,0.8541,-0.1583,-0.6117,0.6381,-0.6039,0.0098,1.3877,0.1700,0.0674,0.5130,-0.4456,0.0195,1.0085,-0.6254,-0.0479,1.0759,-0.9528,-0.0498,1.1834,-0.8541,-0.0655,1.0769,EX_PEAK
-0.6254,-0.0479,1.0759,-0.9528,-0.0498,1.1834,-0.8541,-0.0655,1.0769,-0.9909,0.1730,1.3769,-0.5170,0.1261,0.9977,-0.3235,-0.0098,0.9958,0.0195,-0.0645,0.5942,0.1261,-0.0928,0.6577,0.0967,-0.0391,0.8101,0.2150,0.0586,0.8316,0.3127,0.3733,0.6176,0.1573,0.5795,0.6293,0.0752,-0.4759,0.5668,-0.2551,-0.2042,1.2147,0.2062,0.0000,0.4818,-0.1945,0.0948,0.8658,-0.8072,0.2775,1.1756,-0.6645,0.4095,1.2206,-0.6117,-0.0860,0.9430,-0.8824,0.1134,1.0251,EX_PEAK
-0.8824,0.1134,1.0251,-0.7828,0.0772,0.9215,-0.9401,-0.2169,1.4092,-0.4466,0.2678,0.8101,-0.1388,-0.0010,0.9684,0.1603,0.0635,0.1417,0.0469,0.1749,0.7007,0.3215,0.2639,0.4622,0.3303,0.1906,0.6557,0.3469,0.1407,0.7183,0.4349,-0.0371,0.7016,0.3909,-0.2932,0.0127,-0.1554,-0.0498,0.1827,-1.0613,0.1280,1.2166,-0.6704,0.5639,1.3632,-0.5756,0.1407,1.0593,-0.7329,-0.1476,0.9264,-0.6391,-0.1358,1.0017,-0.7124,0.1036,1.0808,-0.7984,0.2551,1.2587,EX_PEAK
-0.5756,0.1407,1.0593,-0.7329,-0.1476,0.9264,-0.6391,-0.1358,1.0017,-0.7124,0.1036,1.0808,-0.7984,0.2551,1.2587,-0.4710,-0.1622,0.7456,-0.2844,0.0586,0.6557,0.0215,-0.1417,0.6352,0.3088,0.2687,0.5218,0.4134,-0.1309,0.4075,0.4779,0.1016,0.5404,0.4153,0.0156,0.5648,0.5277,0.0948,0.3821,0.0274,0.0723,0.9704,-0.0098,-0.0371,0.9772,-0.0156,-0.0371,0.7300,-0.1759,0.0762,0.7476,-0.6499,0.2961,1.0720,-0.6235,0.4671,1.0398,-0.5942,0.2687,0.9157,EX_PEAK
-0.9078,-0.0313,1.1424,-0.6919,0.1456,0.8971,-0.9665,-0.1055,1.3671,-0.6157,0.1104,0.9303,-0.4446,-0.0049,0.7310,-0.1114,-0.0567,0.7290,0.1515,-0.0049,0.4955,0.2267,0.2805,0.7124,0.3029,0.3371,0.4935,0.3127,0.3068,0.7095,0.3831,0.2228,0.5883,0.1065,0.0899,1.0339,0.0088,-0.2160,0.9841,0.1739,-0.2414,0.5785,0.2150,-0.2424,0.4085,0.2287,-0.1915,0.3029,0.1808,-0.0967,0.3371,-0.3840,0.1036,0.9078,-0.8150,-0.1349,1.0398,-0.8150,-0.0733,1.3339,EX_PEAK
0.2287,-0.1915,0.3029,0.1808,-0.0967,0.3371,-0.3840,0.1036,0.9078,-0.8150,-0.1349,1.0398,-0.8150,-0.0733,1.3339,-0.8648,-0.2326,1.5948,-0.4417,0.2375,0.9108,-0.1681,0.3997,0.7984,0.1339,0.1143,0.4339,0.1241,0.0244,1.0505,0.4437,0.1329,0.2736,0.3762,0.2853,0.2961,0.1309,0.2365,0.4935,0.1710,0.2013,0.4173,-0.5170,0.0371,1.0818,-0.5912,-0.0567,1.1981,-0.4329,-0.3283,0.8346,-0.6704,-0.1730,1.0769,-0.7701,0.1896,1.1815,-0.7407,-0.0684,1.1981,EX_PEAK
-0.6704,-0.1730,1.0769,-0.7701,0.1896,1.1815,-0.7407,-0.0684,1.1981,-0.7407,-0.0684,1.1981,-0.7163,-0.0938,1.1267,-0.2453,-0.0137,0.6606,-0.3704,0.0498,1.2938,0.1124,-0.0381,1.1795,0.3147,0.0606,0.5453,0.2541,0.1534,0.6899,0.3674,0.3117,0.3821,-0.0674,0.3557,0.6801,-0.0674,-0.2443,0.4339,-0.6235,-0.5942,1.2030,-0.7642,-0.7534,1.2684,-0.2756,0.4818,0.9323,-0.5111,0.2492,1.1013,-0.6362,0.2257,0.8258,-0.6655,-0.1036,0.9890,-0.9890,0.0489,1.0378,EX_PEAK
-0.6655,-0.1036,0.9890,-0.9890,0.0489,1.0378,-0.8228,0.2003,0.8541,-0.5326,0.1290,1.1248,-0.3264,0.0547,0.8648,-0.2707,-0.0606,1.0222,-0.1720,-0.1046,0.9645,0.1632,0.2160,0.6059,0.3997,0.0557,0.6225,0.2130,0.0801,0.5551,0.5062,0.2111,0.3498,0.0117,0.3059,1.0007,-0.2619,-0.2717,1.2567,0.1446,-0.0948,0.7075,-0.7368,0.5443,1.2225,0.3235,-0.0117,-0.0283,-0.1173,-0.0450,0.5375,-0.5179,0.2834,1.0466,-0.6362,0.3274,1.0378,-0.6391,-0.0645,1.2303,EX_PEAK
-0.1173,-0.0450,0.5375,-0.5179,0.2834,1.0466,-0.6362,0.3274,1.0378,-0.6391,-0.0645,1.2303,-0.5932,-0.3987,1.1521,-0.5238,0.1827,1.2313,-0.3166,0.1808,1.0144,-0.1085,0.1642,0.9215,-0.0039,-0.0723,0.6626,0.1026,-0.0489,0.5130,0.4427,0.0840,0.5981,0.4016,0.1446,0.5599,0.1417,0.7124,0.5560,0.0880,0.6811,0.6069,-0.3968,-0.2091,1.2127,-0.4300,-0.3176,1.3105,-0.2560,0.0899,0.8844,-0.8062,0.0586,1.0994,-0.6479,-0.3020,1.1033,-0.9166,-0.3137,1.2763,EX_PEAK
-0.6479,-0.3020,1.1033,-0.9166,-0.3137,1.2763,-0.6860,-0.1368,0.9782,-0.7486,-0.1710,1.0378,-0.7427,0.0371,1.0877,-0.7730,0.3469,1.2147,-0.2521,-0.2678,1.0632,-0.1134,-0.1710,0.7818,0.2384,-0.1554,0.4007,0.4085,0.0684,0.4525,0.3166,0.2081,0.6147,0.4270,-0.0068,0.4779,0.4378,0.0303,0.3655,-0.0586,0.0625,0.7671,0.0020,-0.2189,0.5766,-0.8844,-0.7026,0.9684,-0.9460,-0.7075,0.9215,-0.7446,-0.0264,1.1922,-0.7417,-0.1300,1.2430,-0.5942,-0.3928,0.9762,EX_PEAK
-0.7446,-0.0264,1.1922,-0.7417,-0.1300,1.2430,-0.5942,-0.3928,0.9762,-0.7935,-0.0420,1.3017,-0.5003,0.0205,1.1062,-0.1505,-0.0860,0.6469,-0.0987,0.1231,0.8346,0.0694,0.0606,0.4476,0.1632,0.2179,0.3254,0.1114,-0.1300,0.8619,0.4847,0.4915,0.4143,0.3889,0.1026,0.3870,0.3547,0.3821,0.4310,-0.3323,0.1476,1.2870,-0.2121,-0.4153,1.1756,0.0938,-0.6772,0.6264,-0.2492,-0.0303,0.9714,-0.4613,-0.0801,1.0310,-0.9186,-0.1495,1.3153,-0.7632,-0.2785,1.2303,EX_PEAK
-0.9186,-0.1495,1.3153,-0.7632,-0.2785,1.2303,-0.6694,-0.2775,1.1697,-0.6254,0.0616,1.2079,-0.5834,0.0625,1.1805,-0.3088,-0.1847,1.0564,0.1114,0.0313,0.5902,0.1300,-0.2414,0.8160,0.1476,-0.1915,0.5873,0.2414,0.3381,0.4779,0.5844,0.2306,0.5736,0.4163,0.0410,0.5639,0.4290,0.0772,0.4759,0.2746,-0.0137,0.5971,0.1544,-0.0625,0.6801,-0.1886,-0.2687,0.9626,-0.1827,-0.3205,0.9362,-0.5013,-0.3713,0.8863,-0.5756,-0.3391,0.9479,-0.4808,0.4358,1.1101,EX_PEAK
0.0528,0.1417,0.8238,0.1192,0.1505,0.6665,0.0332,0.2336,0.6968,-0.0880,0.2981,0.7056,-0.1788,0.0772,0.7026,-0.2404,-0.2912,0.5942,-0.5766,-0.3586,0.8258,-0.6499,-0.2570,0.8502,-0.9108,-0.2101,1.1668,-0.9039,-0.3753,1.0896,-0.9567,0.0176,1.3681,-0.7359,0.1231,1.1668,-0.2805,0.4036,0.7368,-0.1710,-0.0889,0.9821,0.1603,0.0811,0.5316,0.0665,-0.0322,0.9753,0.3518,0.2023,0.5287,0.3381,0.3342,0.4251,-0.0371,0.3274,0.7652,0.0313,0.2081,0.4554,EX_TROU
0.0665,-0.0322,0.9753,0.3518,0.2023,0.5287,0.3381,0.3342,0.4251,-0.0371,0.3274,0.7652,0.0313,0.2081,0.4554,-0.4867,0.1261,1.1717,-0.4358,-0.2062,1.3310,-0.1007,-0.0059,0.4710,-0.7417,0.3850,1.2958,-0.6254,-0.0049,1.2860,-0.7798,-0.1886,1.1600,-0.8238,-0.4231,1.2039,-0.8961,-0.4261,1.2401,-0.2726,0.7701,0.8727,-0.2678,0.3196,1.1893,0.1603,-0.0752,0.5687,0.2404,-0.0420,0.5707,0.2883,0.1319,0.5228,0.3420,0.4456,0.4564,0.1104,0.5727,0.4046,EX_TROU
0.2883,0.1319,0.5228,0.3420,0.4456,0.4564,0.1104,0.5727,0.4046,-0.3450,0.4593,0.8541,-0.1583,-0.6117,0.6381,-0.6039,0.0098,1.3877,0.1700,0.0674,0.5130,-0.4456,0.0195,1.0085,-0.6254,-0.0479,1.0759,-0.9528,-0.0498,1.1834,-0.8541,-0.0655,1.0769,-0.9909,0.1730,1.3769,-0.5170,0.1261,0.9977,-0.3235,-0.0098,0.9958,0.0195,-0.0645,0.5942,0.1261,-0.0928,0.6577,0.0967,-0.0391,0.8101,0.2150,0.0586,0.8316,0.3127,0.3733,0.6176,0.1573,0.5795,0.6293,EX_TROU
0.3127,0.3733,0.6176,0.1573,0.5795,0.6293,0.0752,-0.4759,0.5668,-0.2551,-0.2042,1.2147,0.2062,0.0000,0.4818,-0.1945,0.0948,0.8658,-0.8072,0.2775,1.1756,-0.6645,0.4095,1.2206,-0.6117,-0.0860,0.9430,-0.8824,0.1134,1.0251,-0.7828,0.0772,0.9215,-0.9401,-0.2169,1.4092,-0.4466,0.2678,0.8101,-0.1388,-0.0010,0.9684,0.1603,0.0635,0.1417,0.0469,0.1749,0.7007,0.3215,0.2639,0.4622,0.3303,0.1906,0.6557,0.3469,0.1407,0.7183,0.4349,-0.0371,0.7016,EX_TROU
-0.9401,-0.2169,1.4092,-0.4466,0.2678,0.8101,-0.1388,-0.0010,0.9684,0.1603,0.0635,0.1417,0.0469,0.1749,0.7007,0.3215,0.2639,0.4622,0.3303,0.1906,0.6557,0.3469,0.1407,0.7183,0.4349,-0.0371,0.7016,0.3909,-0.2932,0.0127,-0.1554,-0.0498,0.1827,-1.0613,0.1280,1.2166,-0.6704,0.5639,1.3632,-0.5756,0.1407,1.0593,-0.7329,-0.1476,0.9264,-0.6391,-0.1358,1.0017,-0.7124,0.1036,1.0808,-0.7984,0.2551,1.2587,-0.4710,-0.1622,0.7456,-0.2844,0.0586,0.6557,EX_TROU
0.5277,0.0948,0.3821,0.0274,0.0723,0.9704,-0.0098,-0.0371,0.9772,-0.0156,-0.0371,0.7300,-0.1759,0.0762,0.7476,-0.6499,0.2961,1.0720,-0.6235,0.4671,1.0398,-0.5942,0.2687,0.9157,-0.9078,-0.0313,1.1424,-0.6919,0.1456,0.8971,-0.9665,-0.1055,1.3671,-0.6157,0.1104,0.9303,-0.4446,-0.0049,0.7310,-0.1114,-0.0567,0.7290,0.1515,-0.0049,0.4955,0.2267,0.2805,0.7124,0.3029,0.3371,0.4935,0.3127,0.3068,0.7095,0.3831,0.2228,0.5883,0.1065,0.0899,1.0339,EX_TROU
